Address,Postcode, Price ,
"3 Marian Mews, Enfield",EN2 8GD,£476,685
"1 Hornbeam Spring, Knebworth",SG3 6AX,£436,135
"2 Hope Street, Adlington",PR6 9PS,£122,757
"34 Belvedere Gardens, West Molesey",KT8 2TD,£535,50
"2 Salem Chapel, Castle Place, Abergele",LL22 7AX,£485,400
"27 Silvester Way, Church Crookham",GU52 0RG,£271,122
"232 Ashbourne Road, Mitcham",CR4 2DR,£6,674
"51 Kennerley Road, Yardley",B25 8LS,£6,514
"Broomin Green Farm, Maxwell Road, Stevenage",SG1 2EP,£602,815
"16 Bussex Square, Westonzoyland",TA7 0HD,£232,617
"2 Paradise, Luddendenfoot",HX2 6XF,£172,158
"73 The Crescent East, Sunnyside",S66 3QY,£867,770
"32 Milltown Way, Leek",ST13 5SZ,£231,413
"2 Burton Drive, Poynton",SK12 1AA,£171,853
"4 William House, Princes Crescent, Margate",CT9 1JY,£866,575
"2 Post Office Flats, High Street, Hawkhurst",TN18 4AA,£552,206
"7 Little Chittock, Basildon",SS14 1RN,£628,247
"22 Dudley Road, Cambridge",CB5 8PJ,£132,540
"Scorex House East, 3 Bolton Road, Bradford",BD1 4AN,£727,161
"8 Siskin Grove, Waterlooville",PO7 8HW,£513,783
"6 Parkin Road, Scunthorpe",DN17 2QT,£463,233
"118 St Bernards Avenue, Louth",LN11 8AT,£258,855
"Rose Cottage, Ellingham",NE67 5ET,£662,157
"259 Eastern Avenue, Ilford",IG4 5AT,£884,27
"15 Ashdown Crescent, New Romney",TN28 8EU,£317,220
"Pathways, The Wells, North Anston",S25 4ED,£2,841
"128 Thingwall Road, Wirral",CH61 3UQ,£433,814
"6 Coronation Place, Shebbear",EX21 5SQ,£366,583
"8 Devonia House, The Maltings, Weston-Super-Mare",BS22 6JB,£216,34
"6 The Meadows, Kilgetty",SA68 0SB,£2,655
"26 Acer Leigh, Liverpool",L17 5BN,£4,258
"9 Stanier Drive, Hartshorne",DE11 7FE,£110,578
"12 Park Road, Granborough",MK18 3NS,£422,440
"Top Floor Flat, 103 Fawcett Road, Southsea",PO4 0DF,£474,221
"93 Blackhouse Road, Huddersfield",HD2 1AP,£706,182
"1 Heathcock Court, London",WC2R 0NT,£11,37
"1 Purlieu Way, Theydon Bois",CM16 7ED,£805,5
"22 Charlton Gardens, Coulsdon",CR5 1AS,£755,445
"Flat 60, The Gate House, 354 Sea Front, Hayling Island",PO11 0AT,£541,167
"24 Minyffordd, Ystalyfera",SA9 2ES,£235,688
"The Olde Shoppee, Main Street, Kirkby Malzeard",HG4 3SD,£21,311
"29 Honeysuckle Close, Winchester",SO22 4QQ,£861,751
"10 Rutherglen Walk, Eaglescliffe",TS16 9HE,£384,53
"95B High Street, Ventnor",PO38 1LY,£235,403
"15 Cannon Street, Lower Brynamman",SA18 1TW,£20,125
"Tyn Refail, Penysarn",LL69 9YD,£343,326
"55 Hutton Road, Cranswick",YO25 9PN,£384,767
"297 London Road, Greenhithe",DA9 9LA,£78,488
"2 Myrtle Grove, Barkisland",HX4 0EG,£136,531
"14 Uplands Drive, Werrington",ST9 0LG,£550,732
